idproducto,nombre,unidad,imagen,descripcion,precio,categoria,catalogo
5132,Cubeta para: Hitachi® 704 & 705 ,,productos/5132___CUBETA_PA_4e93785486bd9.jpg,"Cubeta para Hitachi® 704 & 705, 72/caja. Cuvette for use on Hitachi® 704 & 705 analyzers, 24/case. ",,,2
5150,Cubeta rotor para IL® ACL® ,,productos/5150___Cubeta_ro_4e937e4e35b6a.jpg,"Cubeta rotor para IL® ACL® MODELOOS: 100, 200, 300, 1000, 2000, 3000, 6000 & 7000. (No para 9000 & 10000). Cuvette rotor for use on IL® ACL®, 20-Place, 100/case. (For use on ACL® models: 100, 200, 300, 1000, 2000, 3000, 6000 & 7000. **Not for use on ACL® 9000 & 10000** ",,,2
5504,Tubos 1 mL para 13mm ,,productos/5504_Tubos_1_mL__4e9397387956d.jpg,"Tubos 1 mL para 13mm. Nesting sample cup, 1mL, polystyrene (PS), for use in 12mm & 13mm tubes, 1000/bag ",,,2
5505,Tubos 2 mL para 16mm ,,productos/5505_Tubos_2_mL__4e93b9176686d.jpg,"Tubos 2 mL para 16mm. Nesting sample cup, 2mL, polystyrene (PS), for use in 16mm tubes, 1000/bag. ",,,2
5510,Para RA-1000 ® ,,productos/5510_Para_RA_100_4e93948944963.jpg,"Para RA-1000 ® Sample cup for use with the Technicon® RA-1000® analyzer, polystyrene, 1000/pack ",,,2
5512,Para Hitachi ® ES-300 & ES-600 ,,productos/5512_Para_Hitach_4e93955f848b7.jpg,"Para Hitachi ® ES-300 & ES-600. Sample cup for use on Hitachi® ES-300 & ES-600 analyzers, 6000/case (*Special Order Item*) ",,,2
5520,Para Chiron ® 550 Express ® ,,productos/5520_Para_Chiron_4e93964430527.jpg,"Para Chiron ® 550 Express ®. Sample cup for use on Ciba Corning 550 Express® & Express® Plus analyzers, 1000/bag ",,,2
5521,Copas para muestra pediátrica. ,,productos/5521_Copas_para__4e93d6de52431.jpg,"Copas para muestra pediátrica. Pediatric sample cup for use on Ciba Corning 550 Express® & Express® Plus analyzers, 1000/bag ",,,2
5527-5528,Tubo fondo falso de 5mL ,,productos/5527_5528_Tubo_f_4e93bbd365536.jpg,"Tubo fondo falso de 5mL 1000 False Bottom Tubes, for use as a secondary tube for barcoding on automated analyzers. (for use on Hitachi®, Olympus®, Corning®, Ortho® Kodak®, Beckman®, IA®, Tosoh®, Vitros® analyzers and more). •Capacity = 5mL. •Dimensions = 16 x 100mm. •Polypropylene (PP). •Available in Natural and Amber. •Available in two packaging sizes. •Item #'s: 5527, 5527B & 5527AM. Available caps: #5528 - Screwcap, White. ",,,2
5530,"Cubeta para Sysmex® CA-50, CA-500, CA",,productos/5530___Cubeta_pa_4e937c0592ba8.jpg,"Cubeta para Sysmex® CA-50, CA-500, CA- 1000 & CA-5000, 1000/bolsa. Reaction tube designed for use on the Sysmex® CA-500, CA-1000 & CA-5000 analyzers, 1000/bag. ",,,2
5536,"Series Cx ® Copa para Muestra, 2.0mL ",,productos/5536_Series_Cx___4e93d264cc1d1.jpg,"Series Cx ® Copa para Muestra, 2.0mL 2mL Sample Cup for use on Beckman Synchron® CX® series analyzers, 1000/pack (Equivalent to Beckman #652730) ",,,2
5541,"Copa para Muestra, 0.5mL ",,productos/5541_Copa_para_M_4e93d47536eff.jpg,"Copa para Muestra, 0.5mL 0.5mL Sample Cup for use on Beckman Synchron® CX® series analyzers, 1000/pack (Equivalent to Beckman #651412) ",,,2
5542,AXSYM ® Copa para Muestra ,,productos/5542__AXSYM____C_4e93c4672c6fb.jpg,"AXSYM ® Copa para Muestra Sample cup for use on Abbott AxSym® analyzers, 500/bag, 2 x 500/case ",,,2
5543,"Tubo para Muestra, 16 x 75mm ",,productos/5543_Tubo_para_M_4e93c28dcc177.jpg,"Tubo para Muestra, 16 x 75mm. Sample tube for use on Abbott AxSym® Analyzers, polypropylene, 2 x 500/Case ",,,2
5545,ACE ® Copa para Muestra ACE ,,productos/5545_ACE____Copa_4e93cca6cec57.jpg,"ACE ® Copa para Muestra ACE. Sample Cup for use on Alpha Wassermann (Schiaparelli) ACE® analyzers, 1000/bag ",,,2
5545-0,Para Schiaparelli ® ACE ® ,,productos/5545_Para_Schiap_4e9396c13ad64.jpg,"Para Schiaparelli ® ACE ®. Sample Cup for use on Alpha Wassermann (Schiaparelli) ACE® analyzers, 1000/bag ",,,2
6003,"Copa para Hematología, flexible ",,productos/6001___6003_Copa_4e93bf09d22de.jpg,"Copa para Hematología, flexible. Flexivial hematology cup, for use on hematology cell counters (Cell-Dyn® and other brands). •30mL capacity. •Height = 71mm. •Polyethylene (PE). •Available in 3 packaging sizes. 6001-3000/pack 6003- 500/pack ",,,2
6601,Copa para tiempo de coagulación ,,productos/6601_Copa_para_t_4e93ce84aae70.jpg,"Copa para tiempo de coagulación. Coagulation Timer Cup, 1.25mL, for use on Prothrombin Time Instruments (BBL® Fibrometer® and other brands), 2 x 1000/case (2000 each) ",,,2
6602,Copa para tiempo de coagulación ,,productos/6602_Copa_para_t_4e93cda5db3c4.jpg,"Copa para tiempo de coagulación. Coagulation Timer Tip for use on Prothrombin Time Instruments (BBL® Fibrometer® and other brands), 1000/bag ",,,2
6610,Cubetas para Fibrómetro ,,productos/6610_Cubetas_par_4e93da2713098.jpg,"Cubetas para Fibrómetro. Cuvettes for use on coagulation analyzers (CU® 500, Fibrintimer®, Logos® and other brands), 500/case ",,,2
7096,Papel Térmico 48 rollos ,,productos/7096_Papel_T__rm_4e93e0a315003.jpg,Papel Térmico 48 rollos. Printer paper for the ATAC 6000® analyzer. ,,,2
7096-10 ,Papel Térmico 10 rollos,,productos/7096_10_Papel_T__4e93e13dbac1b.jpg,Papel Térmico 10 rollos ,,,2
7140,,,productos/7096_10_Papel_T__4e93e13dbac1b.jpg,Papel para Impresora. Thermal printer paper for use on Ciba Corning 550 Express® & Express® Plus analyzers (24) ,,,2
1503-22PE ,MYM 1503-22PE ,,productos/MYM_1503_22PE_4f1d9d6b84abe.jpg,,,,2
1503-22PE-TR,MYM 1503-22PE-TR ,,productos/MYM_1503_22PE_4f1d9d6b84abe.jpg,BANDITA PARA TOMA DE MUESTRAS TRANSPARENTE 22 MM CAJA CON 100 PZAS. ,,,2
1503-CUC,MYM 1503-CUC,,productos/MYM_1503_22PE_4f1d9d6b84abe.jpg,BANDITA PARA TOMA DE MUESTRA INFANTIL 22 MM CAJA CON 100 PZAS. ,,,2
3-01,POSTER DE FLEBOTOMIA ,,productos/prueba_1_4e9354d240700.png,Poster en color que muestra los sitios aceptables para punciones en vena. Laminado. ,,,3
ML5488,Poster de Sitios de Colección de Sangre ,,,"- 17""W x 22""H ",,,3
ML0697,Advanced Venipuncture Training Aid™ ,,,With Simulated Blood and Backing Plate included ,,,3
ML0699,4-Vein Venipuncture Training Aid™ - ,,,,,,3
ML3044,Latex-Free Tourniquets Multi-Colored - 4 Colors ,,,,,,3
ML5568,Child Velcro® Tourniquets,12/pk ,,"10""L x 1""W, ",,,3
ML5567,Adult Velcro® Tourniquets,12/pk ,,"14""L x 1""W,",,,3
ML3040,Latex-Free Tourniquet Multi-Color Pack,,,6 Colors,,,3
ML5494 ,Four Reel Tourniquet Dispenser ,,,"5.5""L x 5.75""W x 5""H",,,3
ML0102,Latex-Free Tourniquets - Hysnal® ,,,Blue Material 25 bands/roll ,,,3
ML6931 ,Clip Style Tourniquet - Royal Blue ,,,,,,3
ML6932,Clip Style Tourniquet - Tropical ,,,,,,3
ML3028,Latex-Free Pediatric Tourniquets,,,"Powder Blue, 100/pk",,,3
ML3029,Latex-Free Pediatric Tourniquets ,,,"Red, 100/pk",,,3
ML5493,One Reel Tourniquet Dispenser ,,,"4.75""L x 4.75""W x 1.75""H",,,3
ML0692,AA Batteries ,4/pk ,,,,,3
ML6852,Venoscope® II Transilluminator,,,,,,3
ML6853,Venescope® Disposable Protective Covers,50/pk,,,,,3
ML6854 ,Venoscope® Velstretch Straps,10/pk ,,,,,3
ML6855,Venoscope® Carrying Case,,,,,,3
MYM-CT-34321390W ,MYM/CT-34321390W ,,productos/MIM_CT_34321390W_4f18bd2dafda5.png,"MYM’s well-designed test tube racks are made of high density polypropylene, and are autoclavable and non-floating in a water bath. Sizes range from 13mm to 30mm and, therefore, accommodate all routine tubes. The 30mm size rack is especially suitable for 50mL centrifuge tubes. Alphanumeric markings are molded into the racks to provide easy test tube identification. They are available in four colors for color coding of test samples, or simply for aesthetics in the modern laboratory. The racks are shipped flat in order to reduce shelf space and then simply snapped together for use. They are stackable for convenient storage. ",,,4
MYM-CT-34321660B ,MYM/CT-34321660B ,,productos/MIM_CT_34321390W_4f18bd2dafda5.png,GRADILLA AZUL PARA 60 TUBOS 15/17MM SE VENDE POR PIEZA ,,,4
MYM-CT-34321660R ,MYM/CT/34321660R ,,productos/MIM_CT_34321390W_4f18bd2dafda5.png,GRADILLA ROJA PARA 60 TUBOS 15/17MM SE VENDE POR PIEZA ,,,4
CDSM501-606,CALIBRADOR 1 X 3 ML. ,,productos/CDS_M_501_606_4f20dc6bef5e8.png,CDS / MEDONIC CA 530 / CA 620 ,,,5
CDS-501-002 ,LIMPIADOR ENZIMATICO 10 LITROS ,,productos/CDS_501_002_4f20e33d0c8b9.png,"COULTER MAXM, MAXM A/L STKS, GENS COULTER JT, SERIE S, S PLUS, STKR ",,,5
CDS-501-003 ,DILUYENTE UNIVERSAL 20 LITROS ,,productos/CDS_501_003_4f20e445cd26d.png,"COULTER MAXM, MAXM A/L STKS, GENS COULTER JT, SERIE S, S PLUS, STKR COULTER T SERIES ",,,5
CDS-501-009 ,CDS-501-014,,productos/CDS_501_009_4f20e6665359f.png,"COULTER MAXM, MAXM A/L, STKS, GENS ",,,5
CDS-501-013 ,LIMPIADOR ENZIMATICO CONCENTRADO 2.5ML ,,productos/CDS_501_009_4f20e6665359f.png,COULTER MD SERIES ,,,5
CDS-501-019 ,LIZANTE 5 LITROS ,,productos/CDS_501_019_4f20eb432d3f0.png,"COULTER MAXM, MAXM A/L STKS, GENS COULTER JT, SERIE S, S PLUS, STKR ",,,5
CDS-501-020 ,LIZANTE 1 LITRO ,,productos/CDS_501_020_4f20ec3e8a0a7.png,"COULTER MAXM, MAXM A/L STKS, GENS COULTER JT, SERIE S, S PLUS, STKR ",,,5
CDS-501-024 ,REACTIVOS P/C/MD 10 LITROS ,,productos/CDS_501_024_4f20eea464e82.png,COULTER MD SERIES ,,,5
CDS-501-025 ,REACTIVOS T/C 10 LITROS ,,productos/CDS_501_024_4f20eea464e82.png,COULTER T SERIES ,,,5
CDS-501-028 ,"KIT REACTIVO DILUYENTE, LIZANTE 19 LITROS Y 500ML ",,productos/CDS_501_029_4f275e3510ee8.png,COULTER DIFF AC.T ,,,5
CDS-501-029 ,DETERGENTE 500ML ,,productos/CDS_501_024_4f20eea464e82.png,COULTER DIFF AC.T ,,,5
CDS-501-032 ,LIMPIADOR ENZIMATICO 1 LITRO ,,productos/CDS_501_032_4f20f56b0cc5d.png,CDS/ABX MICROS 45 / 60 ,,,5
CDS-501-050 ,SHEATH 10 LITROS ,,productos/CDS_501_050_4f20f71280403.png,CDS/CELL DYN 3000 ,,,5
CDS-501-052 ,DILUYENTE 20 LITROS ,,productos/CDS_501_052_4f20f9fd024c0.png,CDS/CELL DYN 3000 ,,,5
CDS-501-055 ,LIZANTE DE HEMOGLOBINA 10 LITROS ,,productos/CDS_501_052_4f20f9fd024c0.png,,,,5
CDS-501-061 ,HGB/WIC LIZANTE 4 LITROS ,,productos/CDS_501_061_4f20fb1dc97da.png,"CDS/CELL DYN 3500, 3700 ",,,5
CDS-501-063 ,LIMPIADOR ENZIMATICO CONCENTRADO 2X50ML ,,productos/CDS_501_061_4f20fb1dc97da.png,CDS/CELL DYN 3000 ,,,5
CDS-501-064 ,DETERGENTE 20 LITROS ,,productos/CDS_501_052_4f20f9fd024c0.png,"CDS/CELL DYN 1400. 1600, 1700 ",,,5
CDS-501-067 ,DILUYENTE 20 LITROS ,,productos/CDS_501_067_4f27611d84267.png,"CDS/CELL DYN 1400. 1600, 1700 ",,,5
CDS-501-073 ,DETERGENTE 20 LITROS ,,productos/CDS_501_052_4f20f9fd024c0.png,,,,5
CDS-501-074 ,LIMPIADOR ENZIMATICO CONCENTRADO 2 X 15ML ,,productos/CDS_501_061_4f20fb1dc97da.png,,,,5
CDS-501-080 ,LIZANTE 4 LITROS ,,productos/CDS_501_052_4f20f9fd024c0.png,"CDS/CELL DYN 1400. 1600, 1700 ",,,5
CDS-501-126 ,LIZANTE 4 LITROS ,,productos/CDS_501_052_4f20f9fd024c0.png,CDS/ABX MICROS 45 / 60 ,,,5
CDS-501-128 ,DILUYENTE 10 LITROS ,,productos/CDS_501_067_4f27611d84267.png,CDS/ABX MICROS 45 / 60 ,,,5
CDS-501-133 ,DILUYENTE 20 LITROS ,,productos/CDS_501_067_4f27611d84267.png,KX 21 ,,,5
CDS-501-134 ,LIZANTE 500ML ,,productos/CDS_501_052_4f20f9fd024c0.png,KX 21 ,,,5
CDS-501-140 ,LIZANTE 400ML ,,productos/CDS_501_052_4f20f9fd024c0.png,CDS/ABX MICROS 45 / 60 ,,,5
CDS-501-504 ,DILUYENTE 20 LITROS ,,productos/CDS_501_067_4f27611d84267.png,CDS/MEDONIC CA 530/CA620 ,,,5
CDS-501-505 ,LIZANTE 10 LITROS ,,productos/CDS_501_052_4f20f9fd024c0.png,CDS/MEDONIC CA 530/CA620 ,,,5
CDS-501-506 ,MICROCAPILAR 20UI C/100 PIEZAS ,,,CDS/MEDONIC CA 530/CA620 ,,,5
CDS-501-605 ,CONTROL 3 NIVELES 6X4.5ML ,,productos/CDS_501_605_4f2773319d0ec.png,CDS/MEDONIC CA 530/CA620 ,,,5
CDS-M 501-501 3190 ,KIT DE DILUYENTE Y LIZANTE 10 LITROS Y 5 LITROS ,,productos/CDS_501_067_4f27611d84267.png,CDS/MEDONIC CA 530/CA620 ,,,5
3301-10 ,"0.5 - 10uL Diamond Pipettor, Pink",,productos/3301_10_4eab04a22760b.jpg,"•Exactitud y precisión garantizada •La punta de la pipeta fue diseñada para poder ser introducida en tubos o recipientes estrechos. •Ergonómica, ligera, y con un sube movimiento del embolo para minimizar el desgaste. •Dos pasos en la operación del embolo permite usar la pipeta en reversa •Con códigos de color para su fácil identificación. ",,,7
3301-100 ,"10 - 100uL Diamond Pipette, Blue",,productos/3301_100_4eab250910ac4.jpg,"•Exactitud y precisión garantizada •La punta de la pipeta fue diseñada para poder ser introducida en tubos o recipientes estrechos. •Ergonómica, ligera, y con un sube movimiento del embolo para minimizar el desgaste. •Dos pasos en la operación del embolo permite usar la pipeta en reversa •Con códigos de color para su fácil identificación. Nuestras Pipetas Diamond Volumen Variable son una gran alternativa en precio comparado con otras marcas. Fabricadas para dar un alto nivel de precisión y exactitud. Nuestras pipetas Diamond vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. Nuestras Pipetas Diamond Pro Volumen Variable Incluyen todas las características de las Pipetas Diamond adicionando una cubierta suave de polímetro que minimiza la trasferencia del calor corporal a la pipeta, dando por resultado una constante exactitud. Todas las Pipetas Diamond Pro vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. ",,,7
3301-1000 ,"100 - 1000uL Diamond Pipettor, Orange",,productos/3301_1000_4ea9c2db8ff1c.jpg,"•Exactitud y precisión garantizada •La punta de la pipeta fue diseñada para poder ser introducida en tubos o recipientes estrechos. •Ergonómica, ligera, y con un sube movimiento del embolo para minimizar el desgaste. •Dos pasos en la operación del embolo permite usar la pipeta en reversa •Con códigos de color para su fácil identificación. Nuestras Pipetas Diamond Volumen Variable son una gran alternativa en precio comparado con otras marcas. Fabricadas para dar un alto nivel de precisión y exactitud. Nuestras pipetas Diamond vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. Nuestras Pipetas Diamond Pro Volumen Variable Incluyen todas las características de las Pipetas Diamond adicionando una cubierta suave de polímetro que minimiza la trasferencia del calor corporal a la pipeta, dando por resultado una constante exactitud. Todas las Pipetas Diamond Pro vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. ",,,7
3301-20 ,"2 - 20uL Diamond Pipettor, Pink",,productos/3301_10_4eab04a22760b.jpg,"•Exactitud y precisión garantizada •La punta de la pipeta fue diseñada para poder ser introducida en tubos o recipientes estrechos. •Ergonómica, ligera, y con un sube movimiento del embolo para minimizar el desgaste. •Dos pasos en la operación del embolo permite usar la pipeta en reversa •Con códigos de color para su fácil identificación. ",,,7
3301-200 ,"20 - 200uL Diamond Pipettor, Lavender",,productos/3301_200_4ea9c13358cd2.jpg,"•Exactitud y precisión garantizada •La punta de la pipeta fue diseñada para poder ser introducida en tubos o recipientes estrechos. •Ergonómica, ligera, y con un sube movimiento del embolo para minimizar el desgaste. •Dos pasos en la operación del embolo permite usar la pipeta en reversa •Con códigos de color para su fácil identificación. Nuestras Pipetas Diamond Volumen Variable son una gran alternativa en precio comparado con otras marcas. Fabricadas para dar un alto nivel de precisión y exactitud. Nuestras pipetas Diamond vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. Nuestras Pipetas Diamond Pro Volumen Variable Incluyen todas las características de las Pipetas Diamond adicionando una cubierta suave de polímetro que minimiza la trasferencia del calor corporal a la pipeta, dando por resultado una constante exactitud. Todas las Pipetas Diamond Pro vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. ",,,7
3301-50 ,"5 - 50uL Diamond Pipettor, Yellow",,productos/3301_50_4ea0f9c7596cc.jpg,"•Exactitud y precisión garantizada •La punta de la pipeta fue diseñada para poder ser introducida en tubos o recipientes estrechos. •Ergonómica, ligera, y con un sube movimiento del embolo para minimizar el desgaste. •Dos pasos en la operación del embolo permite usar la pipeta en reversa •Con códigos de color para su fácil identificación. ",,,7
3301-5000 ,"1 - 5mL Diamond Pipettor, Green Pipeta ",,productos/3301_5000_4ea9c946f25d7.jpg,"•Exactitud y precisión garantizada •La punta de la pipeta fue diseñada para poder ser introducida en tubos o recipientes estrechos. •Ergonómica, ligera, y con un sube movimiento del embolo para minimizar el desgaste. •Dos pasos en la operación del embolo permite usar la pipeta en reversa •Con códigos de color para su fácil identificación. Nuestras Pipetas Diamond Volumen Variable son una gran alternativa en precio comparado con otras marcas. Fabricadas para dar un alto nivel de precisión y exactitud. Nuestras pipetas Diamond vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. Nuestras Pipetas Diamond Pro Volumen Variable Incluyen todas las características de las Pipetas Diamond adicionando una cubierta suave de polímetro que minimiza la trasferencia del calor corporal a la pipeta, dando por resultado una constante exactitud. Todas las Pipetas Diamond Pro vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. ",,,7
3302-10 ,"10uL Diamond Pipettor, Pink",,productos/3301_10_4eab04a22760b.jpg,"•Exactitud y precisión garantizada •La punta de la pipeta fue diseñada para poder ser introducida en tubos o recipientes estrechos. •Ergonómica, ligera, y con un sube movimiento del embolo para minimizar el desgaste. •Dos pasos en la operación del embolo permite usar la pipeta en reversa •Con códigos de color para su fácil identificación. Nuestras Pipetas Diamond Volumen Fijo son una gran alternativa en precio comparado con otras marcas. Fabricadas para dar un alto nivel de precisión y exactitud. Nuestras pipetas Diamond vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. Nuestras Pipetas Diamond Pro Volumen Fijo Incluyen todas las características de las Pipetas Diamond adicionando una cubierta suave de polímetro que minimiza la trasferencia del calor corporal a la pipeta, dando por resultado una constante exactitud. Todas las Pipetas Diamond Pro vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. ",,,7
3302-100 ,"100uL PRO Pipettor, Lavender Pipeta Diamond PRO",,productos/3301_200_4ea9c13358cd2.jpg,"Pipetas Volumen Fijo •Exactitud y precisión garantizada •La punta de la pipeta fue diseñada para poder ser introducida en tubos o recipientes estrechos. •Ergonómica, ligera, y con un sube movimiento del embolo para minimizar el desgaste. •Dos pasos en la operación del embolo permite usar la pipeta en reversa •Con códigos de color para su fácil identificación. Nuestras Pipetas Diamond Volumen Fijo son una gran alternativa en precio comparado con otras marcas. Fabricadas para dar un alto nivel de precisión y exactitud. Nuestras pipetas Diamond vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. Nuestras Pipetas Diamond Pro Volumen Fijo Incluyen todas las características de las Pipetas Diamond adicionando una cubierta suave de polímetro que minimiza la trasferencia del calor corporal a la pipeta, dando por resultado una constante exactitud. Todas las Pipetas Diamond Pro vienen con un certificado de calibración, un kit para recalibrarlas y un año de garantía en sus componentes. ",,,7
137035,3ml CAPACIDAD,5000,productos/9-001.png,"3ml pipeta de transferencia, 500/cja",,,9
137135,3ml CAPACIDAD,400,productos/9-001.png,"3ml pipeta de transferencia, ESTERIL, 1/pkg",,,9
137030,Pipeta transfer 5ml,5000,productos/9-002.png,"5ml pipeta de transferencia, 500/cja",,,9
137038,Pipeta transfer 5ml,400,productos/9-002.png,"5ml pipeta de transferencia, ESTERIL, 1/pkg",,,9
137138,Pipeta transfer 5ml,400,productos/9-002.png,"5ml pipeta de transferencia, ESTERIL, 10/pkg",,,9
137040,5ml CAPACIDAD - Pipeta para Banco de Sangre,5000,productos/9-003.png,"5ml pipeta de transferencia, 500/cja",,,9
135030,7ml CAPACIDAD,5000,productos/9-004.png,"7ml pipeta de transferencia, 500/cja",,,9
135038,7ml CAPACIDAD,400,productos/9-004.png,"7ml pipeta de transferencia, ESTERIL, 1/pkg",,,9
132138,7ml CAPACIDAD,400,productos/9-004.png,"7ml pipeta de transferencia, ESTERIL, 10/pkg",,,9
136030,4.5ml CAPACIDAD,5000,productos/9-005.png,"4.5ml pipeta de transferencia, 500/cja",,,9
138040,Mini Pipetas,5000,productos/9-006.png,"1.2ml pipeta de transferencia, 500/cja, 10 cjas/cartón",,,9
136036,Mini Pipetas,5000,productos/9-006.png,"1.5ml pipeta de transferencia, 500/cja, 10 cjas/cartón",,,9
138020,Mini Pipetas,1000,productos/9-006.png,"1.7ml pipeta de transferencia, 500/cja, 2 cjas/cartón",,,9
139030,Pipetas Extra Largas,5000,productos/9-007.png,"9 pulgadas pipeta de transferencia, 6ml capacidad, 500/cja, 10 cjas/cartón",,,9
139038,Pipetas Extra Largas,4000,productos/9-007.png,"9 pulgadas pipeta de transferencia, 6ml capacidad, ESTERIL, empaque individual, 400/cja, 10 cjas/cartón",,,9
138002,Pipetas Expandibles,2000,productos/9-008.png,"7ml pipeta, 20 x 100/cja",,,9
138005,Pipetas Expandibles,1200,productos/9-008.png,"15ml pipeta, 12 x 100/cja",,,9
134010,1.3ml capacidad,5000,productos/9-009.png,"1.3ml pipeta de transferencia, 51mm medida, 500/cja, 10 cjas/cartón",,,9
132020,1.5ml capacidad,5000,productos/9-010.png,"1.5ml pipeta de transferencia, 104mm medida, 500/cja, 10 cjas/cartón",,,9
134070,5.5ml capacidad,5000,productos/9-011.png,"5.5ml pipeta de transferencia, 153mm medida, 500/cja, 10 cjas/cartón",,,9
